,"E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120",SPY
,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,
cum_return,0.011195234828003746,0.01781202442326609,0.026200001127944492,0.03370490131473948,0.026738561679263702,0.037065671526212644,0.35619821957510905,0.3399557804638191,0.3619878893889223,0.29792259832924434,0.1612509260092989,0.1161122053902224,6.810031737099301e-05,0.00011797603423862861,0.00013456318488298642,0.0001370928574598882,0.00012919825402180746,0.00011239244550908826,0.3584707022289706
ari_mean_return,0.0006796654585948327,0.0008650190345037629,0.001049963609541281,0.0011736272550378162,0.001219834409204343,0.0014513110156765246,0.002351201900218299,0.002399987570127516,0.0025212460214834725,0.002345683143700269,0.0019519334766008479,0.001910998854572963,-0.0017959075199075456,-0.0015592739111759673,-0.0015317130490019473,-0.0015429374027208155,-0.0015547752720680929,-0.0015671860193642816,0.0005685987168456699
geo_mean_return,-0.21684770745991622,-0.1707402401647795,-0.13242031530474874,-0.10740411930168503,-0.1303995847864725,-0.09796364439201843,0.12688998073284719,0.12225016789380039,0.12849288408672832,0.1091298467527646,0.04811384225955617,0.015478065807261743,-0.7228761704949904,-0.6684275827884278,-0.6553906136111398,-0.6535448399389576,-0.6594226882225829,-0.6732323005516072,0.1275222141322585
daily_min_return,-100.2941950810712,-102.16869336499113,-104.04330143430944,-103.48876915581042,-105.01877859002818,-106.89350122835157,-90.7642331392853,-95.96223549617814,-100.37172361216412,-103.3255570105996,-119.91700746810672,-136.37118255471432,-59.36602745661264,-57.4133706718738,-57.5138240335298,-57.92839223805884,-58.328517645553774,-61.24061160848272,-27.355903467396107
drawdown,-0.6174209039699365,-0.6283887478788339,-0.6393905714338026,-0.6383898871936438,-0.6508754462616926,-0.6611157560182719,-0.5780805846217381,-0.5937106400084367,-0.6037677653995243,-0.5721512439515186,-0.6344251211756693,-0.7261083918610678,-0.4629547401830597,-0.4552908843458341,-0.4547218041546477,-0.45408860470357315,-0.4898655400640952,-0.5555999710474003,-0.23336305120495981
vol,13.887120955911593,13.881082032910317,14.010655140394375,14.101368964800754,14.690096618285333,15.091407325378796,15.182855952955526,15.431740231317427,15.79332503982633,15.365469055671156,14.690904743602667,14.99393190936889,11.684238498613162,11.775288119703118,11.635940904289717,11.526907514010421,11.577620453469308,11.787592910788824,2.6976246796638157
sharpe_ratio,4.8942142921676406e-05,6.23163981347355e-05,7.494036495938808e-05,8.322789496306177e-05,8.303787516863354e-05,9.61680368427864e-05,0.00015485900067178135,0.00015552280780731014,0.00015963997544061166,0.00015265939068970458,0.0001328667982447331,0.00012745148278143668,-0.00015370342877892362,-0.0001324191727051584,-0.000131636372305506,-0.00013385527738861848,-0.0001342914356466224,-0.00013295216684399441,0.000210777548534487
skewness,0.18204969526824605,0.1423964720160488,0.10294833511128874,0.05197145974001927,0.03831458993046213,-0.007169800140340486,0.1936869918998649,0.12181286274068845,0.08401535826155482,-0.0278758628125463,-0.2058741847712359,-0.3123525780785616,0.08762268918448783,0.034801241740046826,-0.01940628418571497,-0.07206024471108108,-0.12627016659021376,-0.1867554094188087,-0.6329039043280691
kurtosis,3.980329151791584,4.010611056689678,4.079925841492396,4.028145643083897,3.7728342195267714,4.0463201485875295,2.9409812742670853,2.956193686597352,3.3389914677863333,3.4245181326325724,3.860302524649664,5.051939938876904,1.2272947483795527,1.2922450102887666,1.1750337025753357,1.1841743091196193,1.4384877962596878,1.9708005813669125,14.962519537215673
modified_VaR,-131.73782642911053,-132.34412893569848,-134.1856314711856,-136.26841505709746,-142.80351786822294,-147.10119109449568,-143.1755036217409,-147.51192955743022,-151.1816632795722,-150.19022604153616,-147.86786288326795,-151.53776988400898,-120.70880689132471,-122.28279409377551,-122.13051559085581,-122.09765481997721,-123.38056391600199,-126.04765135665252,-24.9536217257185
C_VaR,-187.03928448898918,-188.64794778652814,-192.12778374783096,-195.44321065967034,-203.884032654065,-210.82349776637523,-205.7725791735281,-211.5725905890953,-217.02152562501306,-212.90668047342976,-207.9934349789707,-216.12499760065978,-161.1380934462045,-164.5747928558136,-164.27111081695628,-164.58082216088266,-166.81571317241068,-171.38427969180918,-42.13842042006852
